Algoritm,Dimensiune,Tip intrare,Timp mediu (s),Comparatii,Mutari,Apeluri recursive
Bubble Sort,100,aleator,0.0008431666647084057,4814.0,2368.0,0.0
Quick Sort,100,aleator,0.00015439999212200442,641.0,641.0,131.0
Merge Sort,100,aleator,0.00030233332654461265,538.0,672.0,199.0
Bubble Sort,100,sortat crescator,8.53334010268251e-06,99.0,0.0,0.0
Quick Sort,100,sortat crescator,0.00012263337460656962,543.0,543.0,127.0
Merge Sort,100,sortat crescator,0.00018893333617597818,316.0,672.0,199.0
Bubble Sort,100,sortat descrescator,0.0011381999938748777,4950.0,4950.0,0.0
Quick Sort,100,sortat descrescator,0.00012376665836200118,543.0,543.0,127.0
Merge Sort,100,sortat descrescator,0.00021986665281777581,356.0,672.0,199.0
Bubble Sort,100,duplicate,0.0009143666635888318,4884.0,2414.0,0.0
Quick Sort,100,duplicate,7.566668015594284e-05,429.0,429.0,23.0
Merge Sort,100,duplicate,0.00022596667986363173,541.0,672.0,199.0
Bubble Sort,100,aproape sortat,0.000912533316295594,4905.0,372.0,0.0
Quick Sort,100,aproape sortat,0.0002631666720844805,553.0,553.0,125.0
Merge Sort,100,aproape sortat,0.000422499996299545,452.0,672.0,199.0
Bubble Sort,500,aleator,0.026121900009457022,123889.0,59561.0,0.0
Quick Sort,500,aleator,0.001583100005518645,5151.0,5151.0,675.0
Merge Sort,500,aleator,0.0020307999996778867,3843.0,4488.0,999.0
Bubble Sort,500,sortat crescator,6.59666839055717e-05,499.0,0.0,0.0
Quick Sort,500,sortat crescator,0.0011402000091038644,3753.0,3753.0,511.0
Merge Sort,500,sortat crescator,0.0018030666590978701,2216.0,4488.0,999.0
Bubble Sort,500,sortat descrescator,0.04078063333872706,124750.0,124750.0,0.0
Quick Sort,500,sortat descrescator,0.0013364999904297292,3753.0,3753.0,511.0
Merge Sort,500,sortat descrescator,0.0018583999869103234,2272.0,4488.0,999.0
Bubble Sort,500,duplicate,0.029952500015497208,123847.0,56096.0,0.0
Quick Sort,500,duplicate,0.0002904666665320595,1504.0,1504.0,23.0
Merge Sort,500,duplicate,0.002068333327770233,3789.0,4488.0,999.0
Bubble Sort,500,aproape sortat,0.01684366667177528,111547.0,7341.0,0.0
Quick Sort,500,aproape sortat,0.001012800009145091,3884.0,3884.0,617.0
Merge Sort,500,aproape sortat,0.0016910999935741227,3243.0,4488.0,999.0
Bubble Sort,1000,aleator,0.14591700001619756,499035.0,250908.0,0.0
Quick Sort,1000,aleator,0.003888466686476022,12667.0,12667.0,1297.0
Merge Sort,1000,aleator,0.005025500004800658,8699.0,9976.0,1999.0
Bubble Sort,1000,sortat crescator,0.00011589999000231425,999.0,0.0,0.0
Quick Sort,1000,sortat crescator,0.002499966668741157,8498.0,8498.0,1023.0
Merge Sort,1000,sortat crescator,0.003475866668547193,4932.0,9976.0,1999.0
Bubble Sort,1000,sortat descrescator,0.17259706667391583,499500.0,499500.0,0.0
Quick Sort,1000,sortat descrescator,0.002386133341739575,8498.0,8498.0,1023.0
Merge Sort,1000,sortat descrescator,0.003464233324242135,5044.0,9976.0,1999.0
Bubble Sort,1000,duplicate,0.11061080001915495,496097.0,231970.0,0.0
Quick Sort,1000,duplicate,0.0005558333165633181,3451.0,3451.0,23.0
Merge Sort,1000,duplicate,0.0034644666593521833,8491.0,9976.0,1999.0
Bubble Sort,1000,aproape sortat,0.060908166672258325,486620.0,25508.0,0.0
Quick Sort,1000,aproape sortat,0.0023322333387720087,8764.0,8764.0,1217.0
Merge Sort,1000,aproape sortat,0.0031601666705682874,7555.0,9976.0,1999.0
Bubble Sort,2000,aleator,0.6018271000163319,1996920.0,992971.0,0.0
Quick Sort,2000,aleator,0.006019733322318643,23916.0,23916.0,2659.0
Merge Sort,2000,aleator,0.007472266675904393,19424.0,21952.0,3999.0
Bubble Sort,2000,sortat crescator,0.0002740333244825403,1999.0,0.0,0.0
Quick Sort,2000,sortat crescator,0.0037717000038052597,18987.0,18987.0,2047.0
Merge Sort,2000,sortat crescator,0.006968099992567052,10864.0,21952.0,3999.0
Bubble Sort,2000,sortat descrescator,0.7669987000214556,1999000.0,1999000.0,0.0
Quick Sort,2000,sortat descrescator,0.0039049666568947337,18987.0,18987.0,2047.0
Merge Sort,2000,sortat descrescator,0.007176766676517825,11088.0,21952.0,3999.0
Bubble Sort,2000,duplicate,0.47705056665775675,1983600.0,923518.0,0.0
Quick Sort,2000,duplicate,0.0016294999901826184,8883.0,8883.0,23.0
Merge Sort,2000,duplicate,0.008990633340242008,18923.0,21952.0,3999.0
Bubble Sort,2000,aproape sortat,0.26047436667916674,1996722.0,133904.0,0.0
Quick Sort,2000,aproape sortat,0.004726766686265667,19554.0,19554.0,2469.0
Merge Sort,2000,aproape sortat,0.00704060000134632,16923.0,21952.0,3999.0
Bubble Sort,3000,aleator,1.511246833348802,4496789.0,2231826.0,0.0
Quick Sort,3000,aleator,0.009834800012564907,40134.0,40134.0,3945.0
Merge Sort,3000,aleator,0.015644866643318284,30883.0,34904.0,5999.0
Bubble Sort,3000,sortat crescator,0.0008476333265813688,2999.0,0.0,0.0
Quick Sort,3000,sortat crescator,0.007658499991521239,30893.0,30893.0,3953.0
Merge Sort,3000,sortat crescator,0.01111140001254777,16828.0,34904.0,5999.0
Bubble Sort,3000,sortat descrescator,1.6543117333203554,4498500.0,4498500.0,0.0
Quick Sort,3000,sortat descrescator,0.007721900008618832,30893.0,30893.0,3953.0
Merge Sort,3000,sortat descrescator,0.011692533327732235,18076.0,34904.0,5999.0
Bubble Sort,3000,duplicate,1.1068373333158281,4462185.0,2068588.0,0.0
Quick Sort,3000,duplicate,0.0016100666640947263,10235.0,10235.0,23.0
Merge Sort,3000,duplicate,0.011486766665863494,30008.0,34904.0,5999.0
Bubble Sort,3000,aproape sortat,0.5630764333182015,4420685.0,254596.0,0.0
Quick Sort,3000,aproape sortat,0.00686119997408241,31279.0,31279.0,3731.0
Merge Sort,3000,aproape sortat,0.011009833329201987,27168.0,34904.0,5999.0
